bug_id,test_path,success,test_length,clus_size_output_fib,num_fib_tests,is_crash,actual_crash,actual_value_match,exception_type_match,test_exception_type_match
Cli_36,Cli_36_n49.txt,False,262,8,1,False,False,False,False,False
Cli_36,Cli_36_n5.txt,False,193,1,1,False,False,False,False,False
Cli_36,Cli_36_n8.txt,False,233,8,1,False,False,False,False,False
Cli_36,Cli_36_n9.txt,False,295,8,1,False,False,False,False,False
Cli_39,Cli_39_n13.txt,True,96,4,1,False,True,False,False,False
Cli_39,Cli_39_n14.txt,False,98,4,1,False,True,False,False,False
Cli_39,Cli_39_n16.txt,False,104,4,1,False,True,False,False,False
Cli_39,Cli_39_n38.txt,False,98,4,1,False,True,False,False,False
Cli_40,Cli_40_n28.txt,True,41,1,1,False,False,False,False,False
Cli_40,Cli_40_n40.txt,False,61,1,1,False,False,False,False,False
Cli_5,Cli_5_n18.txt,True,30,2,1,True,True,False,True,False
Cli_5,Cli_5_n43.txt,False,43,2,1,True,True,False,True,False
Cli_7,Cli_7_n16.txt,False,24,3,1,True,False,False,False,False
Cli_7,Cli_7_n29.txt,False,24,3,1,True,False,False,False,False
Cli_7,Cli_7_n6.txt,False,14,3,1,True,False,False,False,False
Cli_8,Cli_8_n11.txt,False,51,2,1,False,False,False,False,False
Cli_8,Cli_8_n15.txt,False,51,2,1,False,False,False,False,False
Cli_8,Cli_8_n43.txt,False,51,2,1,False,False,False,False,False
Cli_8,Cli_8_n48.txt,False,51,2,1,False,False,False,False,False
Cli_9,Cli_9_n31.txt,False,27,1,1,True,False,False,False,False
Closure_101,Closure_101_n28.txt,False,19,1,1,False,False,False,False,False
Closure_105,Closure_105_n20.txt,False,41,1,1,False,False,False,False,False
Closure_105,Closure_105_n29.txt,False,34,1,1,False,False,False,False,False
Closure_105,Closure_105_n44.txt,False,39,1,1,False,False,False,False,False
Closure_105,Closure_105_n47.txt,False,39,1,1,False,False,False,False,False
Closure_106,Closure_106_n27.txt,False,7,2,1,True,True,False,False,False
Closure_106,Closure_106_n29.txt,False,29,1,1,True,False,False,False,True
Closure_106,Closure_106_n32.txt,False,22,1,1,True,False,False,False,False
Closure_106,Closure_106_n34.txt,False,12,2,1,True,True,False,False,False
Closure_108,Closure_108_n40.txt,False,33,1,1,True,False,False,False,False
Closure_109,Closure_109_n10.txt,False,37,1,1,False,False,False,False,False
Closure_109,Closure_109_n4.txt,False,39,1,1,False,False,True,False,False
Closure_10,Closure_10_n12.txt,False,59,1,1,False,False,False,False,False
Closure_10,Closure_10_n32.txt,False,45,1,1,False,False,False,False,False
Closure_111,Closure_111_n1.txt,False,37,1,1,False,False,False,False,False
Closure_114,Closure_114_n19.txt,False,12,1,1,True,False,False,False,False
Closure_114,Closure_114_n32.txt,False,12,1,1,True,False,False,False,False
Closure_114,Closure_114_n37.txt,False,12,1,1,True,False,False,False,False
Closure_114,Closure_114_n39.txt,False,14,1,1,True,False,False,False,False
Closure_114,Closure_114_n48.txt,False,37,1,1,True,False,False,False,False
Closure_117,Closure_117_n35.txt,False,42,1,1,False,False,False,False,False
Closure_118,Closure_118_n21.txt,False,16,2,1,False,True,False,False,False
Closure_118,Closure_118_n29.txt,False,16,2,1,False,True,False,False,False
Closure_121,Closure_121_n0.txt,False,50,2,1,False,False,False,False,False
Closure_121,Closure_121_n15.txt,False,46,1,1,False,False,False,False,False
Closure_121,Closure_121_n21.txt,False,52,2,1,False,False,False,False,False
Closure_121,Closure_121_n7.txt,False,61,1,1,False,False,False,False,False
Closure_122,Closure_122_n21.txt,False,60,1,1,False,False,False,False,False
Closure_122,Closure_122_n47.txt,False,292,1,1,False,True,False,False,False
Closure_123,Closure_123_n0.txt,False,24,32,27,False,False,False,False,False
Closure_123,Closure_123_n20.txt,False,24,1,1,False,False,False,False,False
Closure_123,Closure_123_n32.txt,False,14,32,1,False,False,False,False,False
Closure_123,Closure_123_n36.txt,False,24,32,1,False,False,False,False,False
Closure_123,Closure_123_n43.txt,False,19,32,2,False,False,False,False,False
Closure_123,Closure_123_n4.txt,False,14,32,1,False,False,False,False,False
Closure_125,Closure_125_n29.txt,False,104,1,1,True,False,False,False,True
Closure_128,Closure_128_n12.txt,False,24,2,1,False,False,True,False,False
Closure_128,Closure_128_n30.txt,False,14,1,1,False,False,True,False,False
Closure_128,Closure_128_n48.txt,False,24,2,1,False,False,True,False,False
Closure_129,Closure_129_n0.txt,False,24,1,1,False,False,True,False,False
Closure_129,Closure_129_n24.txt,False,35,1,1,False,False,False,False,False
Closure_129,Closure_129_n31.txt,False,12,1,1,False,False,False,False,False
Closure_129,Closure_129_n37.txt,False,24,1,1,False,False,False,False,False
Closure_129,Closure_129_n45.txt,False,14,1,1,False,False,False,False,False
Closure_129,Closure_129_n6.txt,False,24,1,1,False,False,False,False,False
Closure_12,Closure_12_n20.txt,False,152,1,1,False,False,False,False,False
Closure_12,Closure_12_n6.txt,False,110,1,1,False,False,True,False,False
Closure_131,Closure_131_n32.txt,False,24,1,1,False,False,True,False,False
Closure_131,Closure_131_n40.txt,False,19,1,1,False,False,False,False,False
Closure_134,Closure_134_n0.txt,False,21,30,3,False,False,False,False,False
Closure_134,Closure_134_n10.txt,False,9,30,3,False,False,False,False,False
Closure_134,Closure_134_n11.txt,False,21,30,1,False,False,False,False,False
Closure_134,Closure_134_n12.txt,False,21,30,1,False,False,False,False,False
Closure_134,Closure_134_n14.txt,False,18,30,1,False,False,False,False,False
Closure_134,Closure_134_n15.txt,False,21,30,1,False,False,False,False,False
Closure_134,Closure_134_n16.txt,False,16,30,2,False,False,False,False,False
Closure_134,Closure_134_n17.txt,False,23,19,6,False,True,False,False,False
Closure_134,Closure_134_n19.txt,False,23,19,1,False,True,False,False,False
Closure_134,Closure_134_n1.txt,False,19,30,1,False,False,False,False,False
Closure_134,Closure_134_n20.txt,False,16,30,1,False,False,False,False,False
Closure_134,Closure_134_n21.txt,False,23,30,1,False,False,False,False,False
Closure_134,Closure_134_n22.txt,False,23,19,3,False,True,False,False,False
Closure_134,Closure_134_n23.txt,False,21,30,1,False,False,False,False,False
Closure_134,Closure_134_n26.txt,False,9,30,2,False,False,False,False,False
Closure_134,Closure_134_n27.txt,False,23,19,3,False,True,False,False,False
Closure_134,Closure_134_n29.txt,False,21,30,1,False,False,False,False,False
Closure_134,Closure_134_n2.txt,False,23,19,3,False,True,False,False,False
Closure_134,Closure_134_n33.txt,False,16,30,1,False,False,False,False,False
Closure_134,Closure_134_n34.txt,False,23,19,1,False,True,False,False,False
Closure_134,Closure_134_n36.txt,False,16,30,2,False,False,False,False,False
Closure_134,Closure_134_n37.txt,False,21,30,1,False,False,False,False,False
Closure_134,Closure_134_n39.txt,False,21,30,1,False,False,False,False,False
Closure_134,Closure_134_n3.txt,False,21,30,1,False,False,False,False,False
Closure_134,Closure_134_n45.txt,False,21,30,1,False,False,False,False,False
Closure_134,Closure_134_n46.txt,False,21,30,1,False,False,False,False,False
Closure_134,Closure_134_n48.txt,False,16,30,1,False,False,False,False,False
Closure_134,Closure_134_n49.txt,False,22,19,1,False,True,False,False,False
Closure_134,Closure_134_n4.txt,False,16,30,1,False,False,False,False,False
Closure_134,Closure_134_n5.txt,False,31,19,1,False,True,False,False,False
Closure_134,Closure_134_n7.txt,False,21,30,1,False,False,False,False,False
Closure_136,Closure_136_n19.txt,False,24,1,1,False,False,False,False,False
Closure_136,Closure_136_n27.txt,False,24,1,1,False,False,True,False,False
Closure_136,Closure_136_n34.txt,False,16,1,1,False,True,False,False,False
Closure_13,Closure_13_n18.txt,False,92,4,1,False,False,False,False,False
Closure_13,Closure_13_n27.txt,False,84,1,1,False,False,False,False,False
Closure_13,Closure_13_n29.txt,False,111,4,1,False,False,False,False,False
